Source,Target,Weight
DSI RCGP/RSI RCGP,DFY/MFY/CIA,1
DSI RCGP/RSI RCGP,DFY/MFY/EBSA,2
DSI RCGP/RSI RCGP,DFY/MFY/SCOOP,1
DSI RCGP/RSI RCGP,DFY/SDFY/CDA,2
DSI RCGP/RSI RCGP,DFY/SDFY/ENA,1
DSI RCGP/RSI RCGP,DFY/SDFY/RNA,1
DSI RCGP/RSI RCGP,DFY/SFY/CANNES,1
DSI RCGP/RSI RCGP,DFY/SFY/MDCS,2
DSI RS/DIOD,DFY/HBX/OIH,1
DSI RS/QS R,DFY/DCFY/DPT KM,2
DSI RS/QS R,DFY/SFY/MDCS,1
DSI RS/QS R,DFY/SFY/PF,1
DSIM/SATED,DFY/DCFY/DPT CARE,1
DSIM/SATED,DFY/SDFY/ENA,1
DSIM/SATED,DFY/SDFY/RNA,1
DTSP/CEA,DFY/DCFY,1
DTSP/CEA,DFY/DCFY/DP BF,1
DTSP/CEA,DFY/DCFY/DPT CARE,1
DTSP/CEA,DFY/DCFY/DT DIGITAL,1
DTSP/CEA,DFY/DCFY/OEM,1
DTSP/CEA,DFY/DCFY/SDC,1
DTSP/CEA,DFY/HBX/GPS/PM,1
DTSP/CEA,DFY/HBX/OPS/2IO,1
DTSP/CEA,DFY/HBX/PFS,1
DTSP/CEA,DFY/HBX/PFS/CCL,1
DTSP/CEA,DFY/HBX/PFS/SCL,1
DTSP/CEA,DFY/HBX/PFS/SCP,1
DTSP/CEA,DFY/HBX/PFS/SDE,1
DTSP/CEA,DFY/HBX/PFS/SSI,1
DTSP/CEA,DFY/MFY,1
DTSP/CEA,DFY/MFY/CIA,1
DTSP/CEA,DFY/MFY/EBSA,1
DTSP/CEA,DFY/MFY/SCOOP,1
DTSP/CEA,DFY/SDFY/CDA,1
DTSP/CEA,DFY/SDFY/ENA,1
DTSP/CEA,DFY/SDFY/RNA,1
DTSP/CEA,DFY/SFY/MDCS,1
